Nome;Data;Horas;Tipo;Aplicador
Plano de ensino dos cursos de Eng. Civil;17/11/2022;10;Palestra;Random Aplicator
Competências nos PAEs;18/11/2022;10;Palestra;Random Aplicator
Evento Institucional;21/11/2022;10;Evento;Random Aplicator
Implantação de currículo por competências em disciplinas Trabalho;30/11/2022;10;Palestra;Random Aplicator
Operacionalização da avaliação por rubricas no Open LMS;22/11/2022;10;Palestra;Random Aplicator
Workshop Boas práticas no uso da EMT no pós-pandemia;22/11/2022;10;Workshop;Random Aplicator
Projetos integradores;23/11/2022;10;Palestra;Random Aplicator
Extensão no âmbito do CB;23/11/2022;10;Palestra;Random Aplicator
Inclusive Leadership - Virtual Workshop ;22/11/2022;10;Workshop;Random Aplicator
3º Encontro do Núcleo de Extensão Universitária do CEUN-IMT;29/11/2022;10;Encontro;Random Aplicator
Alinhamento entre pesquisadores da RTI e EMUs ;25/11/2022;10;Palestra;Random Aplicator
Que lâmpada eu acendo?;18/11/2022;10;Palestra;Random Aplicator
Escuta Ativa: Teoria e prática;30/11/2022;10;Palestra;Random Aplicator
